건축공학과
경영학과
경제학부
고고문화인류학과
고분자나노공학과
과학학과
국어국문학과
기계공학과
기계설계공학부
기계시스템공학부
농경제유통학부
농생물학과
농축산식품융합학과
도시공학과
독일학과
동물생명공학과
동물자원과학과
목재응용과학과
무역학과
문헌정보학과
물리학과
미디어커뮤니케이션학과
바이오메디컬공학부
반도체과학기술학과
사학과
사회복지학과
사회학과
산림환경과학과
산업디자인학과
산업정보시스템공학과
생명공학부
생명과학부(분자생물학)
생명과학부(생명과학)
생명자원융합학과
생물산업기계공학과
생물환경화학과
생태조경디자인학과
소프트웨어공학과
수학과
스마트팜학과
스페인.중남미학과
스포츠과학과
식품공학과
식품영양학과
신소재공학부(금속시스템공학)
신소재공학부(정보소재공학)
신소재공학부(정보소재공학)
심리학과
아동학과
양자시스템공학과
영어영문학과
원예학과
유기소재섬유공학과
융합기술공학부(IT융합기전공학)
융합기술공학부(IT응용시스템공학)
의류학과
일본학과
작물생명과학과
전기공학과
전자공학부
정치외교학과
조경학과
주거환경학과
중어중문학과
지구환경과학과
지역건설공학과
철학과
컴퓨터인공지능학부
토목환경자원에너지공학부(환경공학)
토목환경자원에너지공학부(자원에너지공학)
토목환경자원에너지공학부(토목공학)
통계학과
프랑스·아프리카학과
한약자원학과
한옥학과
항공우주공학과
행정학과
화학공학부
화학과
회계학과
